ano;tipo_ingresso;regime_juridico;genero;grupo_cargo;quantidade_ingressos
2010;Concurso;Estatutário;Masculino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;492
2010;Concurso;Estatutário;Masculino;Cargo Isolado Do Inpi;1
2010;Concurso;Estatutário;Masculino;Cargos Da Cvm/Susep;86
2010;Concurso;Estatutário;Masculino;Cargos Das Agencias Reguladoras;623
2010;Concurso;Estatutário;Masculino;Cargos De Inspecao Do Mapa;3
2010;Concurso;Estatutário;Masculino;Carreira Advocacia Da Uniao;39
2010;Concurso;Estatutário;Masculino;Carreira Auditor Fiscal Federal Agrop;3
2010;Concurso;Estatutário;Masculino;Carreira Da Area Juridica;2
2010;Concurso;Estatutário;Masculino;Carreira Da Prev Da Saude E Do Trabalho;1223
2010;Concurso;Estatutário;Masculino;Carreira De Desenv De Politicas Sociais;3
2010;Concurso;Estatutário;Masculino;Carreira De Desenvolvimento Tecnologico;268
